"","tve_user_id","ft_start","ft_end"
"389",17428234,2017-08-13,2017-08-20
"390",17430259,2017-08-14,2017-08-21
"391",17434704,2017-08-14,2017-08-21
"392",17436520,2017-08-14,2017-09-13
"393",17436560,2017-08-14,2017-08-21
"394",17439378,2017-08-15,2017-08-22
"395",17453254,2017-08-16,2017-09-15
"396",17456491,2017-08-17,2017-08-24
"397",17460300,2017-08-18,2017-08-25
"398",17470002,2017-08-19,2017-08-26
"399",17473249,2017-08-19,2017-08-26
"400",17476859,2017-08-19,2017-08-26
"401",17485136,2017-08-20,2017-08-27
"402",17486376,2017-08-20,2017-08-27
"403",17491020,2017-08-21,2017-08-28
"404",17518500,2017-08-24,2017-09-23
"405",17523625,2017-08-24,2017-08-31
"406",17525594,2017-08-25,2017-09-01
"407",17530123,2017-08-25,2017-09-24
"408",17534454,2017-08-25,2017-09-01
"409",17537295,2017-08-26,2017-09-02
"410",17540470,2017-08-26,2017-09-25
"411",17540964,2017-08-26,2017-09-25
"412",17541864,2017-08-26,2017-09-02
"413",17542784,2017-08-26,2017-09-02
"414",17543570,2017-08-26,2017-09-02
"415",17546470,2017-08-26,2017-09-02
"416",17547871,2017-08-26,2017-09-02
"417",17556844,2017-08-26,2017-09-02
"418",17558137,2017-08-26,2017-09-25
"419",17558555,2017-08-26,2017-09-02
"420",17562405,2017-08-26,2017-09-25
"421",17563013,2017-08-26,2017-09-02
"422",17565053,2017-08-26,2017-09-25
"423",17566752,2017-08-26,2017-09-02
"424",17565898,2017-08-26,2017-09-02
"425",17569903,2017-08-26,2017-09-25
"426",17571019,2017-08-26,2017-09-02
"427",17573230,2017-08-26,2017-09-25
"428",17573451,2017-08-26,2017-09-02
"429",17576013,2017-08-26,2017-09-25
"430",17577797,2017-08-27,2017-09-26
"431",17573789,2017-08-27,2017-09-03
"432",17578586,2017-08-27,2017-09-03
"433",17578357,2017-08-27,2017-09-03
"434",17580992,2017-08-27,2017-09-03
"435",17582392,2017-08-27,2017-09-03
